col,row,lat,long,id,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,area_points,x,y,area
308,496,45.8370132446,5.49494409561,49,2,[  0 128   0],45.942273139953613,5.6244845390319824,"{'top_right': (308, 495), 'bottom_left': (307, 496), 'bottom_right': (308, 496), 'top_left': (307, 495)}",1911880.73299,2030639.72741,475.122741109
309,496,46.0325660706,5.47273540497,50,2,[  0 128   0],46.138007164001465,5.6028553247451782,"{'top_right': (309, 495), 'bottom_left': (308, 496), 'bottom_right': (309, 496), 'top_left': (308, 495)}",1911411.96438,2052470.74376,476.437151926
310,496,46.2283859253,5.45030641556,51,2,[  0 128   0],46.334004402160645,5.5810115337371826,"{'top_right': (310, 495), 'bottom_left': (309, 496), 'bottom_right': (310, 496), 'top_left': (309, 495)}",1910943.2062,2074331.59437,477.748791244
311,496,46.4244651794,5.42765474319,52,2,[  0 128   0],46.530263900756836,5.5589503049850464,"{'top_right': (311, 495), 'bottom_left': (310, 496), 'bottom_right': (311, 496), 'top_left': (310, 495)}",1910474.48828,2096222.11765,479.057611878
312,496,46.6208076477,5.40477705002,53,2,[  0 128   0],46.726788520812988,5.536668062210083,"{'top_right': (312, 495), 'bottom_left': (311, 496), 'bottom_right': (312, 496), 'top_left': (311, 495)}",1910005.81451,2118142.57815,480.376179266
313,496,46.8174171448,5.38166952133,54,2,[  0 128   0],46.923574447631836,5.5141614675521851,"{'top_right': (313, 495), 'bottom_left': (312, 496), 'bottom_right': (313, 496), 'top_left': (312, 495)}",1909537.17067,2140092.49738,481.684818462
314,496,47.0142822266,5.35832881927,55,2,[  0 128   0],47.120620727539062,5.4914271831512451,"{'top_right': (314, 495), 'bottom_left': (313, 496), 'bottom_right': (314, 496), 'top_left': (313, 495)}",1909068.56535,2162071.71406,482.991730553
315,496,47.2114105225,5.33475160599,56,2,[  0 128   0],47.317926406860352,5.4684617519378662,"{'top_right': (315, 495), 'bottom_left': (314, 496), 'bottom_right': (315, 496), 'top_left': (314, 495)}",1908600.00333,2184080.06681,484.297804459
316,496,47.4087944031,5.31093454361,57,2,[  0 128   0],47.515490531921387,5.4452618360519409,"{'top_right': (316, 495), 'bottom_left': (315, 496), 'bottom_right': (316, 496), 'top_left': (315, 495)}",1908131.50364,2206117.39317,485.598580516
317,496,47.6064376831,5.28687334061,58,2,[  0 128   0],47.713316917419434,5.4218235015869141,"{'top_right': (317, 495), 'bottom_left': (316, 496), 'bottom_right': (317, 496), 'top_left': (316, 495)}",1907663.07712,2228184.06211,486.910705928
318,496,47.8043441772,5.26256418228,59,2,[  0 128   0],47.91140079498291,5.3981432914733887,"{'top_right': (318, 495), 'bottom_left': (317, 496), 'bottom_right': (318, 496), 'top_left': (317, 495)}",1907194.72058,2250279.48688,488.214965495
319,496,48.0025024414,5.23800420761,60,2,[  0 128   0],48.109738349914551,5.3742175102233887,"{'top_right': (319, 495), 'bottom_left': (318, 496), 'bottom_right': (319, 496), 'top_left': (318, 495)}",1906726.42413,2272403.18716,489.508641257
320,496,48.2009162903,5.21318864822,61,2,[  0 128   0],48.308334350585938,5.3500419855117798,"{'top_right': (320, 495), 'bottom_left': (319, 496), 'bottom_right': (320, 496), 'top_left': (319, 495)}",1906258.20513,2294555.63702,490.810968516
