timestamp,perc coverage,coverage (km+AF4-2)
2004+AC0-12+AC0-07,0.2219231216,1789081.34383
2004+AC0-12+AC0-08,0.1890865349,1524362.08364
2004+AC0-12+AC0-09,0.1885211511,1519804.11965
2004+AC0-12+AC0-10,0.1890801102,1524310.28923
2004+AC0-12+AC0-11,0.1825514964,1471678.45401
2004+AC0-12+AC0-12,0.1825514964,1471678.45401
2004+AC0-12+AC0-13,0.1831890286,1476818.05851
2004+AC0-12+AC0-14,0.1825514964,1471678.45401
2004+AC0-12+AC0-15,0.1755555678,1415279.25978
2004+AC0-12+AC0-16,0.1685581422,1358867.99633
2004+AC0-12+AC0-17,0.1715250671,1382786.5043
2004+AC0-12+AC0-18,0.1719812916,1386464.45723
2004+AC0-12+AC0-19,0.1859545353,1499112.78947
2004+AC0-12+AC0-20,0.2257380668,1819836.35141
2004+AC0-12+AC0-21,0.2257380668,1819836.35141
2004+AC0-12+AC0-22,0.2794788188,2253079.07177
2004+AC0-12+AC0-23,0.292447508,2357628.97057
2004+AC0-12+AC0-24,0.2835984059,2286290.01548
2004+AC0-12+AC0-25,0.286155088,2306901.26293
2004+AC0-12+AC0-26,0.2910948506,2346724.22968
2004+AC0-12+AC0-27,0.3208980993,2586989.5782
2004+AC0-12+AC0-28,0.3470641334,2797932.73373
2004+AC0-12+AC0-29,0.3442234566,2775032.00178
2004+AC0-12+AC0-30,0.331396419,2671624.05802
2004+AC0-12+AC0-31,0.331396419,2671624.05802
2005+AC0-01+AC0-01,0.3430380487,2765475.57919
2005+AC0-01+AC0-02,0.3436005029,2770009.92586
2005+AC0-01+AC0-03,0.3269846283,2636057.45083
2005+AC0-01+AC0-04,0.3461390348,2790474.85076
2005+AC0-01+AC0-05,0.3468883093,2796515.28924
2005+AC0-01+AC0-06,0.2904029685,2341146.47195
2005+AC0-01+AC0-07,0.2860832473,2306322.10361
2005+AC0-01+AC0-08,0.2834445122,2285049.3684
2005+AC0-01+AC0-09,0.286577472,2310306.40283
2005+AC0-01+AC0-10,0.2867198826,2311454.47666
2005+AC0-01+AC0-11,0.2812678249,2267501.53171
2005+AC0-01+AC0-12,0.2967183654,2392059.41262
2005+AC0-01+AC0-13,0.2927823852,2360328.65592
2005+AC0-01+AC0-14,0.2606515081,2101298.62564
2005+AC0-01+AC0-15,0.260181268,2097507.68335
2005+AC0-01+AC0-16,0.2639295553,2127725.31388
2005+AC0-01+AC0-17,0.2752856922,2219275.27289
2005+AC0-01+AC0-18,0.2827582271,2279516.73267
2005+AC0-01+AC0-19,0.28053731,2261612.3276
2005+AC0-01+AC0-20,0.3175613617,2560089.74492
2005+AC0-01+AC0-21,0.3179916751,2563558.80958
2005+AC0-01+AC0-22,0.322416694,2599232.05869
2005+AC0-01+AC0-23,0.372636506,3004089.95796
2005+AC0-01+AC0-24,0.3964362347,3195956.62921
2005+AC0-01+AC0-25,0.3964362347,3195956.62921
2005+AC0-01+AC0-26,0.3964362347,3195956.62921
2005+AC0-01+AC0-27,0.3907410616,3150043.7569
2005+AC0-01+AC0-28,0.3263667362,2631076.17981
2005+AC0-01+AC0-29,0.3298707833,2659324.81496
2005+AC0-01+AC0-30,0.3164375487,2551029.88305
2005+AC0-01+AC0-31,0.3103542436,2501988.00073
2005+AC0-02+AC0-01,0.3083914165,2486164.24408
2005+AC0-02+AC0-02,0.3458224599,2787922.71336
2005+AC0-02+AC0-03,0.3509690747,2829413.26444
2005+AC0-02+AC0-04,0.3504403953,2825151.20046
2005+AC0-02+AC0-05,0.3519047179,2836956.1544
2005+AC0-02+AC0-06,0.3530704357,2846353.8415
2005+AC0-02+AC0-07,0.3539847429,2853724.72709
2005+AC0-02+AC0-08,0.3541374126,2854955.50677
2005+AC0-02+AC0-09,0.3541374126,2854955.50677
2005+AC0-02+AC0-10,0.0502138235,404809.621749
2005+AC0-02+AC0-11,0.3375740449,2721426.32795
2005+AC0-02+AC0-12,0.3464183465,2792726.58251
2005+AC0-02+AC0-13,0.3445845931,2777943.38166
2005+AC0-02+AC0-14,0.3420398219,2757428.15773
